,HR_Mean,HR_Median,HR_std_log,HR_Min,HR_Max_boxcox,HR_AUC_inverse,Round,Phase,Individual,Puzzler,Frustrated,Cohort
18,-1.014920876414144,-0.8296644790531725,-2.164210571498984,-0.14993242535978082,-2.180498620025825,0.8807091429372826,4,3,2,0,0,1
19,-1.3312472809103617,-1.2072653735518355,-0.04677504004792788,-1.1782730228401301,-1.5990045085528666,1.026687213524277,4,2,2,0,5,1
20,-0.8453662168060353,-0.6823382284127115,-0.04350630577175251,-0.7253473857227467,-0.37017533521335816,0.8984735457132493,4,1,2,0,1,1
21,0.337831401084903,-0.5746291208016173,1.7963089434362447,0.1391993492780458,1.6372305734425063,0.08838083832477905,1,3,2,0,2,1
22,0.14284251563713143,-0.6253885853079961,1.9309794877672044,-1.0244492215549812,1.6677338261770023,-0.8066075200750238,1,2,2,0,4,1
23,-0.9164516459160872,-0.8024276932204824,-1.025400042038192,-0.38066812728750504,-1.3153581088596669,-1.6840245018503908,1,1,2,0,1,1
24,1.104965008449294,1.154906779574219,-0.6488509005931864,1.5919796947488964,0.34643764670539967,-0.4392617593282132,3,3,3,1,3,1
25,0.4852996227168107,0.4962717767109789,0.27298755857183904,0.3670864622930807,0.4212231655261306,-0.3746038705836312,3,2,3,1,4,1
26,0.9054933592317311,1.0595780291598014,0.7804307027387468,-0.2168742648079474,0.7936125732032648,-0.22694221188533173,3,1,3,1,3,1
27,1.0075721112516167,1.0063424932140894,-1.0459558152669177,1.7201661958198549,0.15443513423761002,-1.070822553117607,2,3,3,1,4,1
28,1.104446526794989,1.2954238337565065,-0.23899446732629634,1.1176896407863537,0.34126305665942197,-0.7988726484976201,2,2,3,1,1,1
29,1.2939388369549776,1.4470832094158042,-0.8266514305371357,1.3327581036942944,0.27591978200418943,-0.656529943409337,2,1,3,1,4,1
30,1.8099240790861328,1.8921570506363592,-0.7630167326363245,1.5706152779037381,0.6109110167124416,-0.8860669341020913,4,3,3,1,4,1
31,0.8240961381019595,1.1703822260700656,0.33096973984446765,0.2887502671941626,0.22969592782960338,-0.8803005398719441,4,2,3,1,1,1
32,1.02316576649297,1.0218179397099345,-0.5974013926310183,1.5535237444276098,0.5530041900228203,-0.9108047895363853,4,1,3,1,3,1
33,1.326512776279644,1.3009949944950114,-1.1350403540730853,2.0876341655565995,0.46226600676497626,-1.7911496609268538,1,3,3,1,3,1
34,1.2020365673150184,1.2849005301393315,-0.06588412746842226,0.9325313614616377,0.8572677604416721,-2.0341054293606198,1,2,3,1,2,1
35,0.3342532223599152,0.4343699907275918,-1.2713957107880902,1.097749518397538,-0.1033488332605991,-2.3110819799794164,1,1,3,1,1,1
36,-1.0577600821193052,-0.9881330511706438,-0.15314167177786156,-0.7908649307145696,-0.7034502230285331,1.0256600466153625,3,3,4,1,2,1
37,0.8094318837177934,0.9939621360174109,0.6293853938159987,0.46963566314984656,0.6635599002002442,-0.7734092859342178,3,2,4,1,3,1
38,-2.029623202678898,-1.8287593048250417,0.28381094182916095,-2.1225802473961832,-1.3064012984493327,2.1967132451410367,3,1,4,1,2,1
39,0.6224090341234005,-0.14688777965641248,2.0579867968175956,-0.8179265253851048,1.9159304227344716,-0.7694759719169787,2,3,4,1,4,1
40,-1.3240414725750098,-1.0822237658653928,0.0482248819522877,-1.8448428284091092,-1.186083270277697,-1.0927736869325588,2,2,4,1,4,1
41,-1.012979668238417,-1.8207120726472008,1.9061425923706001,-2.0613355857733926,1.3382114175579438,0.9324689294961014,2,1,4,1,2,1
42,-1.1930913724205046,-1.3706860885479766,0.4933941777424776,-1.1355441891498101,-0.6028227175040666,1.2018037814430564,4,3,4,1,4,1
43,-0.9551790860936186,-0.6681008176365313,-0.9123963967211567,-0.5914637068264126,-1.7744595972798953,0.7268924729211167,4,2,4,1,7,1
44,1.9422982649604628,2.3743719634469445,2.1713106207070925,-0.5473105786797501,1.872364177067199,-0.9353665058250772,4,1,4,1,2,1
45,0.09706665628445388,0.1620021324006881,-0.13518018985639185,-0.7395903302861867,-0.10699947897959228,-1.1269069387717787,1,3,4,1,1,1
46,2.694246577309595,1.634026603085634,2.332132382368533,-1.0814209998087398,2.5294000456090773,-1.982871105778176,1,2,4,1,2,1
47,-1.0588081567974756,-1.5471061786006295,1.79579608855126,-2.171006258911879,1.17183158765424,-1.5522857064195437,1,1,4,1,2,1
48,-1.5275731250233036,-1.5211074284876078,0.5812855113298593,-1.4389189083510767,0.16969873247857115,1.4058244886234503,3,3,5,0,1,1
49,-0.7221487950925334,-0.6303407281866661,0.19023461625497962,-0.6299196571477003,-0.6725504232924359,0.511107593717319,3,2,5,0,3,1
50,-0.8161583318536946,-0.3431164412237507,-0.05443716544899532,-1.1383927780624987,-1.3046161023151885,0.9519851648996686,3,1,5,0,2,1
